Data,Hora,Localização,TipoGeométrico,NomePonto,Eixo,Nominal,Medido,Desvio,Tol+,Tol-
02/12/2024,15:02:12,LOC1,CÍRCULO,CÍRCULO_1,X,3306.84,3307.07,0.22,0.6,-0.6
02/12/2024,15:02:12,LOC1,CÍRCULO,CÍRCULO_1,Y,-137.0,-136.76,0.24,0.6,-0.6
02/12/2024,15:02:12,LOC2,CÍRCULO,CÍRCULO_2,X,3306.84,3306.49,-0.35,0.6,-0.6
02/12/2024,15:02:12,LOC2,CÍRCULO,CÍRCULO_2,Y,137.0,137.05,0.05,0.6,-0.6
02/12/2024,15:02:12,LOC7,CÍRCULO,CÍRCULO_11,X,3242.0,3242.71,0.71,0.8,-0.8
02/12/2024,15:02:12,LOC7,CÍRCULO,CÍRCULO_11,Y,0.0,-0.12,-0.12,0.8,-0.8
02/12/2024,15:02:12,LOC8,CÍRCULO,CÍRCULO_4,X,3242.0,3242.48,0.48,0.8,-0.8
02/12/2024,15:02:12,LOC8,CÍRCULO,CÍRCULO_4,Y,-34.29,-34.36,-0.07,0.8,-0.8
02/12/2024,15:02:12,LOC9,CÍRCULO,CÍRCULO_3,X,3242.0,3241.88,-0.12,0.8,-0.8
02/12/2024,15:02:12,LOC9,CÍRCULO,CÍRCULO_3,Y,34.28,34.58,0.3,0.8,-0.8
02/12/2024,15:02:12,N/D,N/D,N/D,M,68.57,68.94,0.37,0.5,-0.5
02/12/2024,15:02:12,LOC3,CÍRCULO,CÍRCULO_5,Y,-141.23,-141.35,-0.12,0.7,-0.7
02/12/2024,15:02:12,LOC3,CÍRCULO,CÍRCULO_5,Z,150.36,149.46,-0.9,0.7,-0.7
02/12/2024,15:02:12,LOC117,CÍRCULO,CÍRCULO_6,Y,141.23,141.73,0.5,0.7,-0.7
02/12/2024,15:02:12,LOC117,CÍRCULO,CÍRCULO_6,Z,150.36,149.3,-1.07,0.7,-0.7
02/12/2024,15:02:12,LOC5,CÍRCULO,CÍRCULO_7,X,3205.0,3205.74,0.74,0.7,-0.7
02/12/2024,15:02:12,LOC5,CÍRCULO,CÍRCULO_7,Y,-183.5,-183.92,-0.42,0.7,-0.7
02/12/2024,15:02:12,LOC115,CÍRCULO,CÍRCULO_8,X,3205.0,3205.75,0.75,0.7,-0.7
02/12/2024,15:02:12,LOC115,CÍRCULO,CÍRCULO_8,Y,183.5,183.91,0.41,0.7,-0.7
02/12/2024,15:02:12,LOC6,CÍRCULO,CÍRCULO_10,X,3206.76,3207.29,0.53,0.8,-0.8
02/12/2024,15:02:12,LOC6,CÍRCULO,CÍRCULO_10,Y,-43.75,-43.62,0.13,0.8,-0.8
02/12/2024,15:02:12,LOC114,CÍRCULO,CÍRCULO_9,X,3206.75,3207.14,0.38,0.8,-0.8
02/12/2024,15:02:12,LOC114,CÍRCULO,CÍRCULO_9,Y,43.74,44.04,0.3,0.8,-0.8
02/12/2024,15:02:12,N/D,N/D,N/D,M,282.46,283.08,0.62,0.5,-0.5
02/12/2024,15:02:12,N/D,N/D,N/D,M,367.0,367.83,0.83,0.5,-0.5
02/12/2024,15:02:12,N/D,N/D,N/D,M,87.5,87.66,0.17,0.5,-0.5
02/12/2024,15:02:12,LOC10,PONTO,PTO_DE_SUPERFICIE_1,Z,176.9,177.1,0.2,0.6,-0.6
02/12/2024,15:02:12,LOC11,PONTO,PTO_DE_SUPERFICIE_2,Z,176.9,176.94,0.04,0.6,-0.6
02/12/2024,15:02:12,LOC12,PONTO,PTO_DE_SUPERFICIE_4,Z,176.9,176.92,0.02,0.6,-0.6
02/12/2024,15:02:12,LOC13,PONTO,PTO_DE_SUPERFICIE_3,Z,176.9,177.02,0.12,0.6,-0.6
02/12/2024,15:02:12,LOC14,PONTO,PTO_DE_SUPERFICIE_5,Z,176.9,176.85,-0.05,0.6,-0.6
02/12/2024,15:02:12,LOC15,PONTO,PTO_DE_SUPERFICIE_6,Z,176.9,176.85,-0.05,0.6,-0.6
02/12/2024,15:02:12,LOC16,PONTO,PTO_DE_SUPERFICIE_7,Z,176.9,176.89,-0.01,0.6,-0.6
02/12/2024,15:02:12,LOC17,PONTO,PTO_DE_SUPERFICIE_8,Z,176.9,176.53,-0.37,0.6,-0.6
02/12/2024,15:02:12,LOC18,PONTO,PTO_DE_SUPERFICIE_9,Z,178.4,178.16,-0.24,0.6,-0.6
02/12/2024,15:02:12,LOC19,PONTO,PTO_DE_SUPERFICIE_10,Z,178.4,178.14,-0.26,0.6,-0.6
02/12/2024,15:02:12,LOC20,PONTO,PTO_DE_SUPERFICIE_11,Z,178.4,178.73,0.33,0.6,-0.6
02/12/2024,15:02:12,LOC21,PONTO,PTO_DE_SUPERFICIE_12,Z,178.4,178.77,0.37,0.6,-0.6
