Data,Hora,Localização,TipoGeométrico,NomePonto,Eixo,Nominal,Medido,Desvio,Tol+,Tol-
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_7,X,2240.01,2239.65,-0.36,1.0,-1.0
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_7,Z,49.78,49.79,0.0,1.0,-1.0
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_19,X,2076.34,2075.85,-0.5,0.8,-0.8
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_19,Y,735.68,736.02,0.34,0.8,-0.8
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_20,X,1956.2,1955.64,-0.56,0.8,-0.8
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_20,Y,731.25,732.03,0.78,0.8,-0.8
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_6,X,1826.21,1825.84,-0.37,0.8,-0.8
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_6,Y,727.31,728.5,1.18,0.8,-0.8
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_18,X,968.73,968.97,0.24,1.0,-1.0
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_18,Y,712.09,713.09,0.99,1.0,-1.0
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_16,X,748.55,748.77,0.22,0.8,-0.8
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_16,Y,712.58,713.59,1.01,0.8,-0.8
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_8,X,1439.37,1439.72,0.35,0.7,-0.7
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_8,Z,4.51,4.52,0.01,0.7,-0.7
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_9,X,795.0,795.1,0.1,0.8,-0.8
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_9,Z,-4.6,-4.52,0.08,0.8,-0.8
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_10,X,705.0,705.1,0.1,1.0,-1.0
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_10,Z,19.81,19.69,-0.12,1.0,-1.0
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_11,X,610.0,610.56,0.56,1.0,-1.0
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_11,Z,-4.32,-4.76,-0.43,1.0,-1.0
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_13,X,445.0,445.04,0.04,1.0,-1.0
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_13,Z,10.81,10.72,-0.09,1.0,-1.0
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_14,X,558.68,558.92,0.24,1.0,-1.0
20/03/2024,14:14:43,N/D,CÍRCULO,CÍRCULO_14,Y,648.91,649.25,0.34,1.0,-1.0
20/03/2024,14:14:43,N/D,SLOT,RETÂNGULO_1,X,1560.25,1560.38,0.13,1.0,-1.0
20/03/2024,14:14:43,N/D,SLOT,RETÂNGULO_1,Y,711.9,712.23,0.33,1.0,-1.0
20/03/2024,14:14:43,N/D,SLOT,RETÂNGULO_2,X,1560.01,1560.12,0.11,1.0,-1.0
20/03/2024,14:14:43,N/D,SLOT,RETÂNGULO_2,Y,670.85,671.56,0.71,1.0,-1.0
20/03/2024,14:14:43,N/D,SLOT,RETÂNGULO_3,X,1444.32,1444.61,0.29,1.0,-1.0
20/03/2024,14:14:43,N/D,SLOT,RETÂNGULO_3,Z,-17.53,-17.57,-0.04,1.0,-1.0
20/03/2024,14:14:43,N/D,SLOT,RETÂNGULO_4,X,1125.08,1125.33,0.25,1.0,-1.0
20/03/2024,14:14:43,N/D,SLOT,RETÂNGULO_4,Y,670.5,671.65,1.15,1.0,-1.0
20/03/2024,14:14:43,N/D,SLOT,RETÂNGULO_5,X,925.0,925.32,0.32,1.0,-1.0
20/03/2024,14:14:43,N/D,SLOT,RETÂNGULO_5,Y,711.03,711.92,0.89,1.0,-1.0
20/03/2024,14:14:43,N/D,SLOT,RETÂNGULO_6,X,925.08,925.38,0.3,1.0,-1.0
20/03/2024,14:14:43,N/D,SLOT,RETÂNGULO_6,Y,670.5,671.55,1.06,1.0,-1.0
20/03/2024,14:14:43,N/D,SLOT,RETÂNGULO_7,X,725.0,725.25,0.25,1.0,-1.0
20/03/2024,14:14:43,N/D,SLOT,RETÂNGULO_7,Y,711.87,712.39,0.52,1.0,-1.0
20/03/2024,14:14:43,N/D,SLOT,OBLONGO_1,X,1613.28,1613.12,-0.15,0.8,-0.8
20/03/2024,14:14:43,N/D,SLOT,OBLONGO_1,Z,19.15,19.81,0.66,0.8,-0.8
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_108,Y,696.42,696.45,0.03,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_109,Y,696.42,696.52,0.09,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_110,Y,696.42,696.58,0.15,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_111,Y,696.42,696.61,0.18,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_113,Y,731.74,732.13,0.39,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_114,Y,731.77,732.31,0.54,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_115,Y,731.76,732.35,0.59,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_116,Y,736.91,737.98,1.07,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_117,Y,736.91,737.94,1.03,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_118,Y,739.41,740.33,0.92,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_120,Y,742.21,743.22,1.01,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_121,Y,742.22,743.42,1.2,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_122,Y,744.27,744.56,0.28,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_124,Y,744.67,745.14,0.47,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_125,Y,747.45,747.9,0.44,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_126,Y,747.45,747.82,0.37,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_127,Y,750.08,750.27,0.18,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_128,Y,750.1,750.21,0.11,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_30,Y,744.16,744.65,0.49,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_129,Y,751.51,751.61,0.1,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_130,Y,751.58,751.71,0.14,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_131,Y,751.58,751.44,-0.13,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_132,Y,751.58,751.59,0.01,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_19,Y,739.81,740.98,1.17,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_133,Y,751.58,752.09,0.52,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_134,Y,750.11,750.69,0.58,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_135,Y,731.43,731.75,0.32,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_136,Y,716.07,715.03,-1.04,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_137,Y,715.92,714.33,-1.59,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_138,Y,712.69,712.07,-0.62,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_139,Y,713.34,713.94,0.6,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_140,Y,713.04,713.47,0.44,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_141,Y,710.19,710.83,0.64,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_31,Y,706.15,706.67,0.52,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_142,Y,707.68,707.95,0.26,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_143,Y,706.83,707.29,0.45,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_145,Y,703.3,703.67,0.37,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_146,Y,700.49,701.22,0.73,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_147,Y,699.27,700.02,0.75,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PNT_BORDA_19,Y,731.74,731.93,0.19,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_148,Y,697.9,698.68,0.78,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_149,Y,696.42,697.04,0.62,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_150,Y,696.42,696.8,0.38,1.0,-0.0
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_36,Y,690.64,691.44,0.81,0.7,-0.7
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_37,Y,689.56,689.96,0.4,0.7,-0.7
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_38,Y,682.92,683.56,0.64,0.7,-0.7
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_39,Y,678.58,679.14,0.56,0.7,-0.7
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_40,Y,677.9,677.63,-0.27,0.7,-0.7
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_41,Y,671.8,671.7,-0.1,0.7,-0.7
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_42,Y,655.76,656.58,0.83,0.7,-0.7
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_43,Y,652.61,653.45,0.85,0.7,-0.7
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_44,Y,640.96,641.75,0.79,0.7,-0.7
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_45,Y,635.83,636.6,0.76,0.7,-0.7
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_46,Y,641.32,641.94,0.62,0.7,-0.7
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_47,Y,636.07,636.87,0.8,0.7,-0.7
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_48,Y,641.18,641.81,0.63,0.7,-0.7
20/03/2024,14:14:43,N/D,PONTO,PTO_SUPERF_49,Y,636.24,636.98,0.74,0.7,-0.7
