Data,Hora,Localização,TipoGeométrico,NomePonto,Eixo,Nominal,Medido,Desvio,Tol+,Tol-
10/10/2025,10:25:03,LOC23,CÍRCULO,28359,Y,830.08,829.23,-0.85,0.5,-0.5
10/10/2025,10:25:03,LOC23,CÍRCULO,28359,Z,273.81,273.65,-0.16,0.5,-0.5
10/10/2025,10:25:03,LOC62,CÍRCULO,28354,Y,821.91,823.17,1.26,0.5,-0.5
10/10/2025,10:25:03,LOC62,CÍRCULO,28354,Z,648.15,647.85,-0.3,0.5,-0.5
10/10/2025,10:25:03,LOC63,CÍRCULO,CÍR5,Y,778.0,776.95,-1.06,1.0,-1.0
10/10/2025,10:25:03,LOC63,CÍRCULO,CÍR5,Z,405.75,405.92,0.17,1.0,-1.0
10/10/2025,10:25:03,LOC64,SLOT,SLTR1,Y,778.96,777.53,-1.43,1.0,-1.0
10/10/2025,10:25:03,LOC64,SLOT,SLTR1,Z,361.9,362.05,0.15,1.0,-1.0
10/10/2025,10:25:03,LOC65,CÍRCULO,CÍR4,Y,745.94,745.57,-0.37,1.0,-1.0
10/10/2025,10:25:03,LOC65,CÍRCULO,CÍR4,Z,579.71,580.63,0.91,1.0,-1.0
10/10/2025,10:25:03,LOC66,CÍRCULO,CÍR3,Y,750.37,749.49,-0.88,1.0,-1.0
10/10/2025,10:25:03,LOC66,CÍRCULO,CÍR3,Z,427.84,427.91,0.08,1.0,-1.0
10/10/2025,10:25:03,N/D,N/D,N/D,M,8.17,6.06,-2.11,0.8,-0.8
10/10/2025,10:25:03,N/D,N/D,N/D,M,374.34,374.2,-0.14,0.8,-0.8
10/10/2025,10:25:03,LOC67,PONTO,PNT15,T,0.0,-0.07,-0.07,0.5,-0.5
10/10/2025,10:25:03,LOC68,PONTO,PNT16,T,0.0,-0.23,-0.23,0.5,-0.5
10/10/2025,10:25:03,LOC69,PONTO,PNT17,T,0.0,0.36,0.36,0.5,-0.5
10/10/2025,10:25:03,LOC70,PONTO,PNT18,T,0.0,0.21,0.21,0.5,-0.5
10/10/2025,10:25:03,LOC71,PONTO,PNT19,T,0.0,-0.22,-0.22,0.5,-0.5
10/10/2025,10:25:03,LOC72,PONTO,PNT20,T,0.0,0.1,0.1,0.5,-0.5
10/10/2025,10:25:03,LOC73,PONTO,PNT21,T,0.0,0.07,0.07,0.5,-0.5
10/10/2025,10:25:03,LOC74,PONTO,PNT22,T,0.0,0.73,0.73,0.5,-0.5
10/10/2025,10:25:03,LOC75,PONTO,PNT23,T,0.0,0.42,0.42,0.5,-0.5
10/10/2025,10:25:03,LOC76,PONTO,PNT24,T,0.0,0.33,0.33,0.5,-0.5
10/10/2025,10:25:03,LOC77,PONTO,PNT25,T,0.0,0.13,0.13,0.5,-0.5
10/10/2025,10:25:03,LOC78,PONTO,PNT26,T,0.0,-0.03,-0.03,0.5,-0.5
10/10/2025,10:25:03,LOC79,PONTO,PNT27,T,0.0,-0.74,-0.74,0.5,-0.5
10/10/2025,10:25:03,LOC80,PONTO,PNT28,T,0.0,-0.58,-0.58,0.5,-0.5
10/10/2025,10:25:03,LOC81,PONTO,PNT29,T,0.0,-0.52,-0.52,0.5,-0.5
10/10/2025,10:25:03,LOC82,PONTO,PNT30,T,0.0,-0.57,-0.57,0.5,-0.5
10/10/2025,10:25:03,LOC83,PONTO,PNT31,T,0.0,-0.75,-0.75,0.5,-0.5
10/10/2025,10:25:03,LOC84,PONTO,PNT32,T,0.0,0.04,0.04,0.5,-0.5
10/10/2025,10:25:03,LOC85,PONTO,PNT33,T,0.0,0.02,0.02,0.5,-0.5
10/10/2025,10:25:03,LOC86,PONTO,PNT34,T,0.0,-0.1,-0.1,0.5,-0.5
10/10/2025,10:25:03,LOC87,PONTO,PNT35,T,0.0,-0.04,-0.04,0.5,-0.5
10/10/2025,10:25:03,LOC88,PONTO,PNT36,T,0.0,-0.13,-0.13,0.5,-0.5
10/10/2025,10:25:03,LOC89,PONTO,PNT37,T,0.0,-0.02,-0.02,0.5,-0.5
10/10/2025,10:25:03,LOC90,PONTO,PNT38,T,0.0,0.43,0.43,0.5,-0.5
10/10/2025,10:25:03,LOC91,PONTO,PNT39,T,0.0,0.03,0.03,0.5,-0.5
10/10/2025,10:25:03,LOC92,PONTO,PNT40,T,0.0,0.88,0.88,0.5,-0.5
10/10/2025,10:25:03,LOC93,PONTO,PNT41,T,0.0,0.29,0.29,0.5,-0.5
10/10/2025,10:25:03,LOC94,PONTO,PNT42,T,0.0,-0.53,-0.53,0.5,-0.5
10/10/2025,10:25:03,LOC95,PONTO,PNT43,T,0.0,0.13,0.13,0.5,-0.5
10/10/2025,10:25:03,LOC96,PONTO,PNT44,T,0.0,1.51,1.51,0.5,-0.5
10/10/2025,10:25:03,LOC97,PONTO,PNT45,T,0.0,0.47,0.47,0.5,-0.5
10/10/2025,10:25:03,LOC98,PONTO,PNT46,T,0.0,0.3,0.3,0.5,-0.5
10/10/2025,10:25:03,LOC99,PONTO,PNT47,T,0.0,-0.76,-0.76,0.5,-0.5
10/10/2025,10:25:03,LOC100,PONTO,PNT48,T,0.0,-0.18,-0.18,0.5,-0.5
10/10/2025,10:25:03,LOC101,PONTO,PNT49,T,0.0,-1.16,-1.16,0.5,-0.5
