Data,Hora,Localização,TipoGeométrico,NomePonto,Eixo,Nominal,Medido,Desvio,Tol+,Tol-
09/02/2026,09:25:29,LOC23,CÍRCULO,28359,Y,830.08,828.6,-1.48,0.5,-0.5
09/02/2026,09:25:29,LOC23,CÍRCULO,28359,Z,273.81,273.2,-0.61,0.5,-0.5
09/02/2026,09:25:29,LOC62,CÍRCULO,28354,Y,821.91,823.65,1.74,0.5,-0.5
09/02/2026,09:25:29,LOC62,CÍRCULO,28354,Z,648.15,647.55,-0.6,0.5,-0.5
09/02/2026,09:25:29,LOC63,CÍRCULO,CÍR5,X,1575.12,1574.3,-0.83,0.5,-0.5
09/02/2026,09:25:29,LOC63,CÍRCULO,CÍR5,Y,778.0,777.0,-1.0,0.5,-0.5
09/02/2026,09:25:29,LOC63,CÍRCULO,CÍR5,Z,405.75,405.64,-0.11,0.5,-0.5
09/02/2026,09:25:29,LOC64,SLOT,SLTR1,X,1571.67,1570.86,-0.81,1.0,-1.0
09/02/2026,09:25:29,LOC64,SLOT,SLTR1,Y,778.96,777.54,-1.42,1.0,-1.0
09/02/2026,09:25:29,LOC64,SLOT,SLTR1,Z,361.9,361.75,-0.15,1.0,-1.0
09/02/2026,09:25:29,LOC65,CÍRCULO,CÍR4,X,1637.22,1635.91,-1.31,1.0,-1.0
09/02/2026,09:25:29,LOC65,CÍRCULO,CÍR4,Y,745.94,746.0,0.07,1.0,-1.0
09/02/2026,09:25:29,LOC65,CÍRCULO,CÍR4,Z,579.71,579.51,-0.21,1.0,-1.0
09/02/2026,09:25:29,LOC66,CÍRCULO,CÍR3,X,1622.23,1621.66,-0.57,1.0,-1.0
09/02/2026,09:25:29,LOC66,CÍRCULO,CÍR3,Y,750.37,749.83,-0.54,1.0,-1.0
09/02/2026,09:25:29,LOC66,CÍRCULO,CÍR3,Z,427.84,427.46,-0.37,1.0,-1.0
09/02/2026,09:25:29,LOC25,SLOT,SLTQ1,X,1607.11,1606.09,-1.02,1.0,-1.0
09/02/2026,09:25:29,LOC25,SLOT,SLTQ1,Y,770.84,770.75,-0.1,1.0,-1.0
09/02/2026,09:25:29,LOC25,SLOT,SLTQ1,Z,496.72,496.48,-0.24,1.0,-1.0
09/02/2026,09:25:29,N/D,N/D,N/D,M,8.17,4.95,-3.22,0.8,-0.8
09/02/2026,09:25:29,N/D,N/D,N/D,M,374.34,374.35,0.01,0.8,-0.8
09/02/2026,09:25:29,LOC67,PONTO,PNT15,T,0.0,-0.09,-0.09,0.5,-0.5
09/02/2026,09:25:29,LOC68,PONTO,PNT16,T,0.0,-0.18,-0.18,0.5,-0.5
09/02/2026,09:25:29,LOC69,PONTO,PNT17,T,0.0,0.44,0.44,0.5,-0.5
09/02/2026,09:25:29,LOC70,PONTO,PNT18,T,0.0,0.1,0.1,0.5,-0.5
09/02/2026,09:25:29,LOC71,PONTO,PNT19,T,0.0,-0.14,-0.14,0.5,-0.5
09/02/2026,09:25:29,LOC72,PONTO,PNT20,T,0.0,0.05,0.05,0.5,-0.5
09/02/2026,09:25:29,LOC73,PONTO,PNT21,T,0.0,0.13,0.13,0.5,-0.5
09/02/2026,09:25:29,LOC74,PONTO,PNT22,T,0.0,0.82,0.82,0.5,-0.5
09/02/2026,09:25:29,LOC75,PONTO,PNT23,T,0.0,0.56,0.56,0.5,-0.5
09/02/2026,09:25:29,LOC76,PONTO,PNT24,T,0.0,0.57,0.57,0.5,-0.5
09/02/2026,09:25:29,LOC77,PONTO,PNT25,T,0.0,0.29,0.29,0.5,-0.5
09/02/2026,09:25:29,LOC78,PONTO,PNT26,T,0.0,-0.23,-0.23,0.5,-0.5
09/02/2026,09:25:29,LOC79,PONTO,PNT27,T,0.0,-0.36,-0.36,0.5,-0.5
09/02/2026,09:25:29,LOC80,PONTO,PNT28,T,0.0,-0.33,-0.33,0.5,-0.5
09/02/2026,09:25:29,LOC81,PONTO,PNT29,T,0.0,-0.18,-0.18,0.5,-0.5
09/02/2026,09:25:29,LOC82,PONTO,PNT30,T,0.0,-0.21,-0.21,0.5,-0.5
09/02/2026,09:25:29,LOC83,PONTO,PNT31,T,0.0,-0.47,-0.47,0.5,-0.5
09/02/2026,09:25:29,LOC84,PONTO,PNT32,T,0.0,0.23,0.23,0.5,-0.5
09/02/2026,09:25:29,LOC85,PONTO,PNT33,T,0.0,0.11,0.11,0.5,-0.5
09/02/2026,09:25:29,LOC86,PONTO,PNT34,T,0.0,-0.11,-0.11,0.5,-0.5
09/02/2026,09:25:29,LOC87,PONTO,PNT35,T,0.0,-0.11,-0.11,0.5,-0.5
09/02/2026,09:25:29,LOC88,PONTO,PNT36,T,0.0,-0.09,-0.09,0.5,-0.5
09/02/2026,09:25:29,LOC89,PONTO,PNT37,T,0.0,0.0,0.0,0.5,-0.5
09/02/2026,09:25:29,LOC90,PONTO,PNT38,T,0.0,0.4,0.4,0.5,-0.5
09/02/2026,09:25:29,LOC91,PONTO,PNT39,T,0.0,0.25,0.25,0.5,-0.5
09/02/2026,09:25:29,LOC92,PONTO,PNT40,T,0.0,0.83,0.83,0.5,-0.5
