Data,Hora,Localização,TipoGeométrico,NomePonto,Eixo,Nominal,Medido,Desvio,Tol+,Tol-
31/10/2025,14:00:31,LOC23,CÍRCULO,28359,Y,830.08,828.93,-1.15,0.5,-0.5
31/10/2025,14:00:31,LOC23,CÍRCULO,28359,Z,273.81,273.37,-0.43,0.5,-0.5
31/10/2025,14:00:31,LOC62,CÍRCULO,28354,Y,821.91,823.31,1.4,0.5,-0.5
31/10/2025,14:00:31,LOC62,CÍRCULO,28354,Z,648.15,647.25,-0.9,0.5,-0.5
31/10/2025,14:00:31,LOC63,CÍRCULO,CÍR5,X,1575.12,1574.43,-0.69,0.5,-0.5
31/10/2025,14:00:31,LOC63,CÍRCULO,CÍR5,Y,778.0,777.15,-0.85,0.5,-0.5
31/10/2025,14:00:31,LOC63,CÍRCULO,CÍR5,Z,405.75,405.73,-0.02,0.5,-0.5
31/10/2025,14:00:31,LOC64,SLOT,SLTR1,X,1571.67,1570.95,-0.72,1.0,-1.0
31/10/2025,14:00:31,LOC64,SLOT,SLTR1,Y,778.96,777.66,-1.3,1.0,-1.0
31/10/2025,14:00:31,LOC64,SLOT,SLTR1,Z,361.9,361.84,-0.06,1.0,-1.0
31/10/2025,14:00:31,LOC65,CÍRCULO,CÍR4,X,1637.22,1635.64,-1.58,1.0,-1.0
31/10/2025,14:00:31,LOC65,CÍRCULO,CÍR4,Y,745.94,745.92,-0.02,1.0,-1.0
31/10/2025,14:00:31,LOC65,CÍRCULO,CÍR4,Z,579.71,579.64,-0.08,1.0,-1.0
31/10/2025,14:00:31,LOC66,CÍRCULO,CÍR3,X,1622.23,1621.44,-0.78,1.0,-1.0
31/10/2025,14:00:31,LOC66,CÍRCULO,CÍR3,Y,750.37,749.43,-0.94,1.0,-1.0
31/10/2025,14:00:31,LOC66,CÍRCULO,CÍR3,Z,427.84,427.65,-0.18,1.0,-1.0
31/10/2025,14:00:31,LOC25,SLOT,SLTQ1,X,1607.11,1605.99,-1.12,1.0,-1.0
31/10/2025,14:00:31,LOC25,SLOT,SLTQ1,Y,770.84,770.69,-0.16,1.0,-1.0
31/10/2025,14:00:31,LOC25,SLOT,SLTQ1,Z,496.72,496.54,-0.18,1.0,-1.0
31/10/2025,14:00:31,N/D,N/D,N/D,M,8.17,5.62,-2.55,0.8,-0.8
31/10/2025,14:00:31,N/D,N/D,N/D,M,374.34,373.88,-0.46,0.8,-0.8
31/10/2025,14:00:31,LOC67,PONTO,PNT15,T,0.0,-0.06,-0.06,0.5,-0.5
31/10/2025,14:00:31,LOC68,PONTO,PNT16,T,0.0,-0.18,-0.18,0.5,-0.5
31/10/2025,14:00:31,LOC69,PONTO,PNT17,T,0.0,0.52,0.52,0.5,-0.5
31/10/2025,14:00:31,LOC70,PONTO,PNT18,T,0.0,0.14,0.14,0.5,-0.5
31/10/2025,14:00:31,LOC71,PONTO,PNT19,T,0.0,-0.04,-0.04,0.5,-0.5
31/10/2025,14:00:31,LOC72,PONTO,PNT20,T,0.0,0.1,0.1,0.5,-0.5
31/10/2025,14:00:31,LOC73,PONTO,PNT21,T,0.0,0.25,0.25,0.5,-0.5
31/10/2025,14:00:31,LOC74,PONTO,PNT22,T,0.0,0.91,0.91,0.5,-0.5
31/10/2025,14:00:31,LOC75,PONTO,PNT23,T,0.0,0.42,0.42,0.5,-0.5
31/10/2025,14:00:31,LOC76,PONTO,PNT24,T,0.0,0.45,0.45,0.5,-0.5
31/10/2025,14:00:31,LOC77,PONTO,PNT25,T,0.0,0.3,0.3,0.5,-0.5
31/10/2025,14:00:31,LOC78,PONTO,PNT26,T,0.0,-0.19,-0.19,0.5,-0.5
31/10/2025,14:00:31,LOC79,PONTO,PNT27,T,0.0,-0.74,-0.74,0.5,-0.5
31/10/2025,14:00:31,LOC80,PONTO,PNT28,T,0.0,-0.52,-0.52,0.5,-0.5
31/10/2025,14:00:31,LOC81,PONTO,PNT29,T,0.0,-0.42,-0.42,0.5,-0.5
31/10/2025,14:00:31,LOC82,PONTO,PNT30,T,0.0,-0.22,-0.22,0.5,-0.5
31/10/2025,14:00:31,LOC83,PONTO,PNT31,T,0.0,-0.79,-0.79,0.5,-0.5
31/10/2025,14:00:31,LOC84,PONTO,PNT32,T,0.0,0.12,0.12,0.5,-0.5
31/10/2025,14:00:31,LOC85,PONTO,PNT33,T,0.0,0.07,0.07,0.5,-0.5
31/10/2025,14:00:31,LOC86,PONTO,PNT34,T,0.0,-0.02,-0.02,0.5,-0.5
31/10/2025,14:00:31,LOC87,PONTO,PNT35,T,0.0,0.1,0.1,0.5,-0.5
31/10/2025,14:00:31,LOC88,PONTO,PNT36,T,0.0,-0.04,-0.04,0.5,-0.5
31/10/2025,14:00:31,LOC89,PONTO,PNT37,T,0.0,0.07,0.07,0.5,-0.5
31/10/2025,14:00:31,LOC90,PONTO,PNT38,T,0.0,0.29,0.29,0.5,-0.5
31/10/2025,14:00:31,LOC91,PONTO,PNT39,T,0.0,0.05,0.05,0.5,-0.5
31/10/2025,14:00:31,LOC92,PONTO,PNT40,T,0.0,0.73,0.73,0.5,-0.5
31/10/2025,14:00:31,LOC93,PONTO,PNT41,T,0.0,0.29,0.29,0.5,-0.5
31/10/2025,14:00:31,LOC94,PONTO,PNT42,T,0.0,-0.49,-0.49,0.5,-0.5
31/10/2025,14:00:31,LOC95,PONTO,PNT43,T,0.0,0.23,0.23,0.5,-0.5
31/10/2025,14:00:31,LOC96,PONTO,PNT44,T,0.0,1.53,1.53,0.5,-0.5
31/10/2025,14:00:31,LOC97,PONTO,PNT45,T,0.0,0.41,0.41,0.5,-0.5
31/10/2025,14:00:31,LOC98,PONTO,PNT46,T,0.0,0.32,0.32,0.5,-0.5
31/10/2025,14:00:31,LOC99,PONTO,PNT47,T,0.0,-0.48,-0.48,0.5,-0.5
31/10/2025,14:00:31,LOC100,PONTO,PNT48,T,0.0,0.03,0.03,0.5,-0.5
31/10/2025,14:00:31,LOC101,PONTO,PNT49,T,0.0,-1.04,-1.04,0.5,-0.5
31/10/2025,14:00:31,LOC102,PONTO,PNT51,T,0.0,-1.27,-1.27,0.5,-0.5
31/10/2025,14:00:31,LOC103,PONTO,PNT52,T,0.0,-0.74,-0.74,0.5,-0.5
31/10/2025,14:00:31,LOC104,PONTO,PNT53,T,0.0,-1.42,-1.42,0.5,-0.5
31/10/2025,14:00:31,LOC105,PONTO,PNT54,T,0.0,-1.05,-1.05,0.5,-0.5
31/10/2025,14:00:31,LOC106,PONTO,PNT55,T,0.0,-1.3,-1.3,0.5,-0.5
31/10/2025,14:00:31,LOC107,PONTO,PNT56,T,0.0,-1.04,-1.04,0.5,-0.5
31/10/2025,14:00:31,LOC108,PONTO,PNT57,T,0.0,-1.55,-1.55,0.5,-0.5
31/10/2025,14:00:31,LOC109,PONTO,PNT58,T,0.0,-0.49,-0.49,0.5,-0.5
31/10/2025,14:00:31,LOC110,PONTO,PNT59,T,0.0,-0.09,-0.09,0.5,-0.5
31/10/2025,14:00:31,LOC111,PONTO,PNT60,T,0.0,-0.18,-0.18,0.5,-0.5
31/10/2025,14:00:31,LOC112,PONTO,PNT9 BORDA,T,0.0,0.46,0.46,0.5,-0.5
31/10/2025,14:00:31,LOC113,PONTO,PNT8 BORDA,T,0.0,0.31,0.31,0.5,-0.5
31/10/2025,14:00:31,LOC114,PONTO,PNT7 BORDA,T,0.0,-0.29,-0.29,0.5,-0.5
31/10/2025,14:00:31,LOC115,PONTO,PNT6 BORDA,T,0.0,-0.71,-0.71,0.5,-0.5
31/10/2025,14:00:31,LOC116,PONTO,PNT5 BORDA,T,0.0,-0.38,-0.38,0.5,-0.5
31/10/2025,14:00:31,LOC117,PONTO,PNT4 BORDA,T,0.0,-0.32,-0.32,0.5,-0.5
31/10/2025,14:00:31,LOC118,PONTO,PNT3 BORDA,T,0.0,-0.57,-0.57,0.5,-0.5
31/10/2025,14:00:31,LOC119,PONTO,PNT21 BORDA,T,0.0,0.04,0.04,0.5,-0.5
31/10/2025,14:00:31,LOC120,PONTO,PNT20 BORDA,T,0.0,-0.13,-0.13,0.5,-0.5
31/10/2025,14:00:31,LOC121,PONTO,PNT2 BORDA,T,0.0,-0.81,-0.81,0.5,-0.5
31/10/2025,14:00:31,LOC122,PONTO,PNT19 BORDA,T,0.0,0.08,0.08,0.5,-0.5
31/10/2025,14:00:31,LOC123,PONTO,PNT18 BORDA,T,0.0,-0.87,-0.87,0.5,-0.5
31/10/2025,14:00:31,LOC124,PONTO,PNT17 BORDA,T,0.0,-2.2,-2.2,0.5,-0.5
31/10/2025,14:00:31,LOC125,PONTO,PNT16 BORDA,T,0.0,0.19,0.19,0.5,-0.5
31/10/2025,14:00:31,LOC126,PONTO,PNT15 BPRDA,T,0.0,-1.65,-1.65,0.5,-0.5
31/10/2025,14:00:31,LOC127,PONTO,PNT14 BORDA,T,0.0,1.1,1.1,0.5,-0.5
31/10/2025,14:00:31,LOC128,PONTO,PNT13 BORDA,T,0.0,-0.7,-0.7,0.5,-0.5
31/10/2025,14:00:31,LOC129,PONTO,PNT12 BORDA,T,0.0,-0.11,-0.11,0.5,-0.5
31/10/2025,14:00:31,LOC130,PONTO,PNT11 BORDA,T,0.0,-0.2,-0.2,0.5,-0.5
31/10/2025,14:00:31,LOC131,PONTO,PNT10 BORDA,T,0.0,0.89,0.89,0.5,-0.5
31/10/2025,14:00:31,LOC132,PONTO,PNT1 BORDA,T,0.0,-2.11,-2.11,0.5,-0.5
