Data,Hora,Localização,TipoGeométrico,NomePonto,Eixo,Nominal,Medido,Desvio,Tol+,Tol-,Origem
26/01/2026,10:53:57,LOC22,CÍRCULO,CÍRCULO_2,X,2552.39,2552.29,-0.1,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC22,CÍRCULO,CÍRCULO_2,Y,-220.26,-219.97,0.29,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC23,CÍRCULO,CÍRCULO_1,X,2552.39,2551.71,-0.68,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC23,CÍRCULO,CÍRCULO_1,Y,220.26,220.77,0.51,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC24,CÍRCULO,CÍRCULO_5,X,2698.73,2698.67,-0.06,1.0,-1.0,01.csv
26/01/2026,10:53:57,LOC24,CÍRCULO,CÍRCULO_5,Y,-34.28,-34.29,-0.01,1.0,-1.0,01.csv
26/01/2026,10:53:57,LOC25,CÍRCULO,CÍRCULO_6,X,2698.73,2698.72,-0.02,1.0,-1.0,01.csv
26/01/2026,10:53:57,LOC25,CÍRCULO,CÍRCULO_6,Y,0.0,-0.01,-0.01,1.0,-1.0,01.csv
26/01/2026,10:53:57,LOC26,CÍRCULO,CÍRCULO_7,X,2698.73,2698.8,0.07,1.0,-1.0,01.csv
26/01/2026,10:53:57,LOC26,CÍRCULO,CÍRCULO_7,Y,34.29,34.24,-0.05,1.0,-1.0,01.csv
26/01/2026,10:53:57,LOC27,CÍRCULO,CÍRCULO_13,X,2633.89,2633.37,-0.52,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC27,CÍRCULO,CÍRCULO_13,Y,-137.0,-136.87,0.13,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC28,CÍRCULO,CÍRCULO_12,X,2633.89,2633.58,-0.31,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC28,CÍRCULO,CÍRCULO_12,Y,137.0,136.57,-0.43,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC29,CÍRCULO,CÍRCULO_10,Y,-141.23,-140.99,0.23,1.0,-1.0,01.csv
26/01/2026,10:53:57,LOC29,CÍRCULO,CÍRCULO_10,Z,150.61,150.38,-0.23,1.0,-1.0,01.csv
26/01/2026,10:53:57,LOC30,CÍRCULO,CÍRCULO_11,Y,-212.3,-212.04,0.26,1.0,-1.0,01.csv
26/01/2026,10:53:57,LOC30,CÍRCULO,CÍRCULO_11,Z,145.38,145.39,0.01,1.0,-1.0,01.csv
26/01/2026,10:53:57,LOC31,CÍRCULO,CÍRCULO_9,Y,-23.3,-23.13,0.17,1.0,-1.0,01.csv
26/01/2026,10:53:57,LOC31,CÍRCULO,CÍRCULO_9,Z,145.38,145.22,-0.16,1.0,-1.0,01.csv
26/01/2026,10:53:57,LOC32,CÍRCULO,CÍRCULO_8,Y,141.23,141.32,0.1,1.0,-1.0,01.csv
26/01/2026,10:53:57,LOC32,CÍRCULO,CÍRCULO_8,Z,150.61,150.43,-0.19,1.0,-1.0,01.csv
26/01/2026,10:53:57,LOC33,SLOT,OBLONGO_2,X,2472.16,2472.03,-0.13,0.6,-0.6,01.csv
26/01/2026,10:53:57,LOC33,SLOT,OBLONGO_2,Y,-215.26,-215.18,0.08,0.6,-0.6,01.csv
26/01/2026,10:53:57,LOC34,SLOT,OBLONGO_1,X,2472.16,2471.49,-0.67,0.6,-0.6,01.csv
26/01/2026,10:53:57,LOC34,SLOT,OBLONGO_1,Y,215.26,215.22,-0.04,0.6,-0.6,01.csv
26/01/2026,10:53:57,LOC1,PONTO,PTO_DE_SUPERFICIE_11,Z,136.9,136.46,-0.44,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC37,PONTO,PTO_DE_SUPERFICIE_12,Z,136.9,136.02,-0.88,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC38,PONTO,PTO_DE_SUPERFICIE_13,Z,136.9,136.67,-0.23,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC39,PONTO,PTO_DE_SUPERFICIE_14,Z,136.9,137.1,0.2,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC35,PONTO,PTO_DE_SUPERFICIE_19,Z,136.9,136.47,-0.43,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC36,PONTO,PTO_DE_SUPERFICIE_20,Z,136.9,136.72,-0.18,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC64,PONTO,PTO_DE_SUPERFICIE_45,Z,136.9,136.27,-0.63,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC65,PONTO,PTO_DE_SUPERFICIE_46,Z,136.9,136.05,-0.85,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC62,PONTO,PTO_DE_SUPERFICIE_39,Z,136.9,136.64,-0.26,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC63,PONTO,PTO_DE_SUPERFICIE_40,Z,136.9,136.61,-0.29,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC60,PONTO,PTO_DE_SUPERFICIE_37,Z,136.9,137.18,0.28,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC61,PONTO,PTO_DE_SUPERFICIE_38,Z,136.9,137.07,0.17,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC42,PONTO,PTO_DE_SUPERFICIE_15,Z,117.43,117.93,0.5,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC41,PONTO,PTO_DE_SUPERFICIE_16,Z,117.43,117.91,0.48,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC40,PONTO,PTO_DE_SUPERFICIE_17,Z,117.43,118.72,1.29,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC57,PONTO,PTO_DE_SUPERFICIE_18,Z,117.43,118.88,1.45,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC43,PONTO,PTO_DE_SUPERFICIE_21,Z,117.43,118.0,0.57,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC44,PONTO,PTO_DE_SUPERFICIE_22,Z,117.43,117.55,0.12,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC58,PONTO,PTO_DE_SUPERFICIE_35,Z,117.43,118.3,0.87,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC59,PONTO,PTO_DE_SUPERFICIE_36,Z,117.43,118.57,1.14,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC76,PONTO,PTO_DE_SUPERFICIE_64,Z,117.43,118.08,0.65,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC77,PONTO,PTO_DE_SUPERFICIE_65,Z,117.43,117.72,0.29,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC74,PONTO,PTO_DE_SUPERFICIE_66,Z,117.43,117.69,0.26,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC73,PONTO,PTO_DE_SUPERFICIE_67,Z,117.43,118.13,0.7,0.7,-0.7,01.csv
26/01/2026,10:53:57,LOC71,PONTO,PTO_DE_SUPERFICIE_68,Z,117.43,117.92,0.49,0.7,-0.7,01.csv
