Data,Hora,Localização,TipoGeométrico,NomePonto,Eixo,Nominal,Medido,Desvio,Tol+,Tol-
28/05/2026,11:05:19,LOC22,CÍRCULO,CÍRCULO_2,X,2552.39,2551.95,-0.43,0.7,-0.7
28/05/2026,11:05:19,LOC22,CÍRCULO,CÍRCULO_2,Y,-220.26,-220.24,0.02,0.7,-0.7
28/05/2026,11:05:19,LOC23,CÍRCULO,CÍRCULO_1,X,2552.39,2551.96,-0.42,0.7,-0.7
28/05/2026,11:05:19,LOC23,CÍRCULO,CÍRCULO_1,Y,220.26,220.29,0.04,0.7,-0.7
28/05/2026,11:05:19,LOC24,CÍRCULO,CÍRCULO_5,X,2698.73,2698.7,-0.03,1.0,-1.0
28/05/2026,11:05:19,LOC24,CÍRCULO,CÍRCULO_5,Y,-34.28,-34.3,-0.02,1.0,-1.0
28/05/2026,11:05:19,LOC25,CÍRCULO,CÍRCULO_6,X,2698.73,2698.64,-0.09,1.0,-1.0
28/05/2026,11:05:19,LOC25,CÍRCULO,CÍRCULO_6,Y,0.0,-0.02,-0.02,1.0,-1.0
28/05/2026,11:05:19,LOC26,CÍRCULO,CÍRCULO_7,X,2698.73,2698.83,0.09,1.0,-1.0
28/05/2026,11:05:19,LOC26,CÍRCULO,CÍRCULO_7,Y,34.29,34.23,-0.06,1.0,-1.0
28/05/2026,11:05:19,LOC27,CÍRCULO,CÍRCULO_13,X,2633.89,2631.98,-1.9,0.7,-0.7
28/05/2026,11:05:19,LOC27,CÍRCULO,CÍRCULO_13,Y,-137.0,-136.27,0.73,0.7,-0.7
28/05/2026,11:05:19,LOC28,CÍRCULO,CÍRCULO_12,X,2633.89,2633.12,-0.77,0.7,-0.7
28/05/2026,11:05:19,LOC28,CÍRCULO,CÍRCULO_12,Y,137.0,136.6,-0.4,0.7,-0.7
28/05/2026,11:05:19,LOC29,CÍRCULO,CÍRCULO_10,Y,-141.23,-141.19,0.04,1.0,-1.0
28/05/2026,11:05:19,LOC29,CÍRCULO,CÍRCULO_10,Z,150.61,150.69,0.08,1.0,-1.0
28/05/2026,11:05:19,LOC30,CÍRCULO,CÍRCULO_11,Y,-212.3,-212.22,0.08,1.0,-1.0
28/05/2026,11:05:19,LOC30,CÍRCULO,CÍRCULO_11,Z,145.38,145.58,0.2,1.0,-1.0
28/05/2026,11:05:19,LOC31,CÍRCULO,CÍRCULO_9,Y,-23.3,-23.33,-0.03,1.0,-1.0
28/05/2026,11:05:19,LOC31,CÍRCULO,CÍRCULO_9,Z,145.38,145.72,0.34,1.0,-1.0
28/05/2026,11:05:19,LOC32,CÍRCULO,CÍRCULO_8,Y,141.23,141.11,-0.12,1.0,-1.0
28/05/2026,11:05:19,LOC32,CÍRCULO,CÍRCULO_8,Z,150.61,151.07,0.46,1.0,-1.0
28/05/2026,11:05:19,LOC33,SLOT,OBLONGO_2,X,2472.16,2472.03,-0.13,0.6,-0.6
28/05/2026,11:05:19,LOC33,SLOT,OBLONGO_2,Y,-215.26,-215.53,-0.28,0.6,-0.6
28/05/2026,11:05:19,LOC34,SLOT,OBLONGO_1,X,2472.16,2471.99,-0.17,0.6,-0.6
28/05/2026,11:05:19,LOC34,SLOT,OBLONGO_1,Y,215.26,215.14,-0.11,0.6,-0.6
28/05/2026,11:05:19,LOC67,PONTO,PTO_DE_SUPERFICIE_42,T,0.0,-0.65,-0.65,0.7,-0.7
28/05/2026,11:05:19,LOC69,PONTO,PTO_DE_SUPERFICIE_44,T,0.0,-0.32,-0.32,0.7,-0.7
28/05/2026,11:05:19,LOC138,PONTO,PTO_DE_BORDA_APARADA_37,T,0.0,2.55,2.55,1.2,-1.2
28/05/2026,11:05:19,LOC132,PONTO,PTO_DE_BORDA_APARADA_2,T,0.0,0.15,0.15,1.2,-1.2
28/05/2026,11:05:19,LOC133,PONTO,PTO_DE_BORDA_APARADA_3,T,0.0,0.11,0.11,1.2,-1.2
28/05/2026,11:05:19,LOC134,PONTO,PTO_DE_BORDA_APARADA_4,T,0.0,0.01,0.01,1.2,-1.2
28/05/2026,11:05:19,LOC135,PONTO,PTO_DE_BORDA_APARADA_5,T,0.0,0.14,0.14,1.2,-1.2
28/05/2026,11:05:19,LOC136,PONTO,PTO_DE_BORDA_APARADA_6,T,0.0,0.15,0.15,1.2,-1.2
28/05/2026,11:05:19,LOC137,PONTO,PTO_DE_BORDA_APARADA_7,T,0.0,0.23,0.23,1.2,-1.2
