Data,Hora,Localização,TipoGeométrico,NomePonto,Eixo,Nominal,Medido,Desvio,Tol+,Tol-
24/04/2026,18:49:33,LOC22,CÍRCULO,CÍRCULO_2,X,2552.39,2551.97,-0.42,0.7,-0.7
24/04/2026,18:49:33,LOC22,CÍRCULO,CÍRCULO_2,Y,-220.26,-220.38,-0.12,0.7,-0.7
24/04/2026,18:49:33,LOC23,CÍRCULO,CÍRCULO_1,X,2552.39,2552.78,0.39,0.7,-0.7
24/04/2026,18:49:33,LOC23,CÍRCULO,CÍRCULO_1,Y,220.26,220.14,-0.12,0.7,-0.7
24/04/2026,18:49:33,LOC24,CÍRCULO,CÍRCULO_5,X,2698.73,2698.67,-0.06,1.0,-1.0
24/04/2026,18:49:33,LOC24,CÍRCULO,CÍRCULO_5,Y,-34.28,-34.29,-0.01,1.0,-1.0
24/04/2026,18:49:33,LOC25,CÍRCULO,CÍRCULO_6,X,2698.73,2698.63,-0.1,1.0,-1.0
24/04/2026,18:49:33,LOC25,CÍRCULO,CÍRCULO_6,Y,0.0,-0.03,-0.03,1.0,-1.0
24/04/2026,18:49:33,LOC26,CÍRCULO,CÍRCULO_7,X,2698.73,2698.8,0.07,1.0,-1.0
24/04/2026,18:49:33,LOC26,CÍRCULO,CÍRCULO_7,Y,34.29,34.24,-0.05,1.0,-1.0
24/04/2026,18:49:33,LOC27,CÍRCULO,CÍRCULO_13,X,2633.89,2632.61,-1.27,0.7,-0.7
24/04/2026,18:49:33,LOC27,CÍRCULO,CÍRCULO_13,Y,-137.0,-136.86,0.14,0.7,-0.7
24/04/2026,18:49:33,LOC28,CÍRCULO,CÍRCULO_12,X,2633.89,2633.29,-0.6,0.7,-0.7
24/04/2026,18:49:33,LOC28,CÍRCULO,CÍRCULO_12,Y,137.0,136.67,-0.33,0.7,-0.7
24/04/2026,18:49:33,LOC29,CÍRCULO,CÍRCULO_10,Y,-141.23,-141.11,0.11,1.0,-1.0
24/04/2026,18:49:33,LOC29,CÍRCULO,CÍRCULO_10,Z,150.61,150.84,0.23,1.0,-1.0
24/04/2026,18:49:33,LOC30,CÍRCULO,CÍRCULO_11,Y,-212.3,-212.15,0.14,1.0,-1.0
24/04/2026,18:49:33,LOC30,CÍRCULO,CÍRCULO_11,Z,145.38,145.91,0.53,1.0,-1.0
24/04/2026,18:49:33,LOC31,CÍRCULO,CÍRCULO_9,Y,-23.3,-23.29,0.01,1.0,-1.0
24/04/2026,18:49:33,LOC31,CÍRCULO,CÍRCULO_9,Z,145.38,145.82,0.44,1.0,-1.0
24/04/2026,18:49:33,LOC32,CÍRCULO,CÍRCULO_8,Y,141.23,141.19,-0.04,1.0,-1.0
24/04/2026,18:49:33,LOC32,CÍRCULO,CÍRCULO_8,Z,150.61,150.93,0.32,1.0,-1.0
24/04/2026,18:49:33,LOC33,SLOT,OBLONGO_2,X,2472.16,2472.04,-0.12,0.6,-0.6
24/04/2026,18:49:33,LOC33,SLOT,OBLONGO_2,Y,-215.26,-215.49,-0.23,0.6,-0.6
24/04/2026,18:49:33,LOC34,SLOT,OBLONGO_1,X,2472.16,2472.13,-0.04,0.6,-0.6
24/04/2026,18:49:33,LOC34,SLOT,OBLONGO_1,Y,215.26,215.27,0.01,0.6,-0.6
24/04/2026,18:49:33,LOC1,PONTO,PTO_DE_SUPERFICIE_11,Z,136.9,137.17,0.27,0.7,-0.7
24/04/2026,18:49:33,LOC37,PONTO,PTO_DE_SUPERFICIE_12,Z,136.9,136.9,0.0,0.7,-0.7
24/04/2026,18:49:33,LOC38,PONTO,PTO_DE_SUPERFICIE_13,Z,136.9,136.93,0.03,0.7,-0.7
24/04/2026,18:49:33,LOC39,PONTO,PTO_DE_SUPERFICIE_14,Z,136.9,137.18,0.28,0.7,-0.7
24/04/2026,18:49:33,LOC35,PONTO,PTO_DE_SUPERFICIE_19,Z,136.9,137.17,0.27,0.7,-0.7
24/04/2026,18:49:33,LOC36,PONTO,PTO_DE_SUPERFICIE_20,Z,136.9,137.32,0.42,0.7,-0.7
24/04/2026,18:49:33,LOC64,PONTO,PTO_DE_SUPERFICIE_45,Z,136.9,137.01,0.11,0.7,-0.7
24/04/2026,18:49:33,LOC65,PONTO,PTO_DE_SUPERFICIE_46,Z,136.9,136.92,0.02,0.7,-0.7
24/04/2026,18:49:33,LOC62,PONTO,PTO_DE_SUPERFICIE_39,Z,136.9,136.95,0.05,0.7,-0.7
24/04/2026,18:49:33,LOC63,PONTO,PTO_DE_SUPERFICIE_40,Z,136.9,137.1,0.2,0.7,-0.7
24/04/2026,18:49:33,LOC60,PONTO,PTO_DE_SUPERFICIE_37,Z,136.9,137.55,0.65,0.7,-0.7
24/04/2026,18:49:33,LOC61,PONTO,PTO_DE_SUPERFICIE_38,Z,136.9,137.21,0.31,0.7,-0.7
24/04/2026,18:49:33,LOC42,PONTO,PTO_DE_SUPERFICIE_15,Z,117.43,118.75,1.32,0.7,-0.7
24/04/2026,18:49:33,LOC41,PONTO,PTO_DE_SUPERFICIE_16,Z,117.43,118.62,1.19,0.7,-0.7
24/04/2026,18:49:33,LOC40,PONTO,PTO_DE_SUPERFICIE_17,Z,117.43,119.21,1.78,0.7,-0.7
24/04/2026,18:49:33,LOC57,PONTO,PTO_DE_SUPERFICIE_18,Z,117.43,119.54,2.11,0.7,-0.7
24/04/2026,18:49:33,LOC43,PONTO,PTO_DE_SUPERFICIE_21,Z,117.43,119.07,1.64,0.7,-0.7
24/04/2026,18:49:33,LOC44,PONTO,PTO_DE_SUPERFICIE_22,Z,117.43,118.43,1.0,0.7,-0.7
24/04/2026,18:49:33,LOC58,PONTO,PTO_DE_SUPERFICIE_35,Z,117.43,119.21,1.78,0.7,-0.7
24/04/2026,18:49:33,LOC59,PONTO,PTO_DE_SUPERFICIE_36,Z,117.43,119.46,2.03,0.7,-0.7
24/04/2026,18:49:33,LOC76,PONTO,PTO_DE_SUPERFICIE_64,Z,117.43,118.79,1.36,0.7,-0.7
24/04/2026,18:49:33,LOC77,PONTO,PTO_DE_SUPERFICIE_65,Z,117.43,118.45,1.02,0.7,-0.7
24/04/2026,18:49:33,LOC74,PONTO,PTO_DE_SUPERFICIE_66,Z,117.43,118.35,0.92,0.7,-0.7
24/04/2026,18:49:33,LOC73,PONTO,PTO_DE_SUPERFICIE_67,Z,117.43,118.79,1.36,0.7,-0.7
24/04/2026,18:49:33,LOC71,PONTO,PTO_DE_SUPERFICIE_68,Z,117.43,118.56,1.13,0.7,-0.7
24/04/2026,18:49:33,LOC70,PONTO,PTO_DE_SUPERFICIE_69,Z,117.43,118.93,1.5,0.7,-0.7
24/04/2026,18:49:33,LOC72,PONTO,PTO_DE_SUPERFICIE_70,Z,117.43,118.68,1.25,0.7,-0.7
24/04/2026,18:49:33,LOC75,PONTO,PTO_DE_SUPERFICIE_71,Z,117.43,118.39,0.96,0.7,-0.7
24/04/2026,18:49:33,LOC45,PONTO,PTO_DE_SUPERFICIE_23,Z,176.9,176.88,-0.02,0.7,-0.7
24/04/2026,18:49:33,LOC46,PONTO,PTO_DE_SUPERFICIE_24,Z,176.9,176.91,0.01,0.7,-0.7
24/04/2026,18:49:33,LOC47,PONTO,PTO_DE_SUPERFICIE_25,Z,176.9,176.88,-0.02,0.7,-0.7
24/04/2026,18:49:33,LOC48,PONTO,PTO_DE_SUPERFICIE_26,Z,176.9,176.71,-0.19,0.7,-0.7
24/04/2026,18:49:33,LOC49,PONTO,PTO_DE_SUPERFICIE_27,Z,176.9,176.77,-0.13,0.7,-0.7
24/04/2026,18:49:33,LOC50,PONTO,PTO_DE_SUPERFICIE_28,Z,176.9,176.59,-0.31,0.7,-0.7
24/04/2026,18:49:33,LOC51,PONTO,PTO_DE_SUPERFICIE_29,Z,176.9,176.77,-0.13,0.7,-0.7
24/04/2026,18:49:33,LOC52,PONTO,PTO_DE_SUPERFICIE_30,Z,176.9,176.56,-0.34,0.7,-0.7
24/04/2026,18:49:33,LOC53,PONTO,PTO_DE_SUPERFICIE_31,Z,176.9,176.6,-0.3,0.7,-0.7
24/04/2026,18:49:33,LOC54,PONTO,PTO_DE_SUPERFICIE_32,Z,176.9,176.85,-0.05,0.7,-0.7
24/04/2026,18:49:33,LOC55,PONTO,PTO_DE_SUPERFICIE_33,Z,176.9,176.9,0.0,0.7,-0.7
24/04/2026,18:49:33,LOC56,PONTO,PTO_DE_SUPERFICIE_34,Z,176.9,176.75,-0.15,0.7,-0.7
24/04/2026,18:49:33,LOC66,PONTO,PTO_DE_SUPERFICIE_41,Z,176.9,176.53,-0.37,0.7,-0.7
24/04/2026,18:49:33,LOC67,PONTO,PTO_DE_SUPERFICIE_42,T,0.0,0.85,0.85,0.7,-0.7
24/04/2026,18:49:33,LOC68,PONTO,PTO_DE_SUPERFICIE_43,Z,176.9,176.77,-0.13,0.7,-0.7
24/04/2026,18:49:33,LOC69,PONTO,PTO_DE_SUPERFICIE_44,T,0.0,-0.17,-0.17,0.7,-0.7
24/04/2026,18:49:33,LOC78,PONTO,PTO_DE_SUPERFICIE_73,X,2661.92,2661.62,-0.3,0.7,-0.7
24/04/2026,18:49:33,LOC79,PONTO,PTO_DE_SUPERFICIE_60,X,2661.2,2661.64,0.44,0.7,-0.7
24/04/2026,18:49:33,LOC80,PONTO,PTO_DE_SUPERFICIE_59,X,2666.72,2667.48,0.76,0.7,-0.7
24/04/2026,18:49:33,LOC81,PONTO,PTO_DE_SUPERFICIE_61,X,2667.78,2668.29,0.51,0.7,-0.7
24/04/2026,18:49:33,LOC82,PONTO,PTO_DE_SUPERFICIE_62,X,2660.99,2661.08,0.09,0.7,-0.7
24/04/2026,18:49:33,LOC83,PONTO,PTO_DE_SUPERFICIE_63,X,2667.57,2668.14,0.57,0.7,-0.7
24/04/2026,18:49:33,LOC84,PONTO,PTO_DE_SUPERFICIE_56,X,2778.52,2778.0,-0.51,0.7,-0.7
24/04/2026,18:49:33,LOC85,PONTO,PTO_DE_SUPERFICIE_57,X,2785.32,2786.35,1.04,0.7,-0.7
24/04/2026,18:49:33,LOC86,PONTO,PTO_DE_SUPERFICIE_55,X,2784.9,2785.62,0.72,0.7,-0.7
24/04/2026,18:49:33,LOC87,PONTO,PTO_DE_SUPERFICIE_54,X,2778.52,2778.38,-0.14,0.7,-0.7
24/04/2026,18:49:33,LOC88,PONTO,PTO DE_SUPERFICIE_52,X,2778.73,2778.3,-0.44,0.7,-0.7
24/04/2026,18:49:33,LOC89,PONTO,PTO_DE_SUPERFICIE_53,X,2784.68,2785.35,0.67,0.7,-0.7
24/04/2026,18:49:33,LOC90,PONTO,PTO_DE_SUPERFICIE_51,X,2785.33,2785.95,0.62,0.7,-0.7
24/04/2026,18:49:33,LOC91,PONTO,PTO_DE_SUPERFICIE_50,X,2778.73,2778.2,-0.53,0.7,-0.7
24/04/2026,18:49:33,LOC92,PONTO,PTO_DE_SUPERFICIE_48,X,2778.73,2778.32,-0.42,0.7,-0.7
24/04/2026,18:49:33,LOC93,PONTO,PTO_DE_SUPERFICIE_49,X,2785.11,2785.52,0.4,0.7,-0.7
24/04/2026,18:49:33,LOC94,PONTO,PTO_DE_SUPERFICIE_47,X,2785.06,2785.32,0.25,0.7,-0.7
24/04/2026,18:49:33,LOC95,PONTO,PTO_DE_SUPERFICIE_72,X,2778.82,2778.42,-0.4,0.7,-0.7
24/04/2026,18:49:33,LOC96,PONTO,PTO_DE_BORDA_APARADA_1,X,2630.59,2629.74,-0.85,1.2,-1.2
24/04/2026,18:49:33,LOC97,PONTO,PTO_DE_BORDA_APARADA_8,X,2815.29,2817.58,2.29,1.2,-1.2
24/04/2026,18:49:33,LOC98,PONTO,PTO_DE_BORDA_APARADA_9,X,2815.29,2817.86,2.57,1.2,-1.2
24/04/2026,18:49:33,LOC99,PONTO,PTO_DE_BORDA_APARADA_10,X,2815.29,2817.81,2.52,1.2,-1.2
24/04/2026,18:49:33,LOC100,PONTO,PTO_DE_BORDA_APARADA_11,X,2815.29,2818.17,2.88,1.2,-1.2
24/04/2026,18:49:33,LOC101,PONTO,PTO_DE_BORDA_APARADA_12,X,2815.29,2818.36,3.07,1.2,-1.2
24/04/2026,18:49:33,LOC102,PONTO,PTO_DE_BORDA_APARADA_13,X,2815.29,2818.38,3.09,1.2,-1.2
24/04/2026,18:49:33,LOC103,PONTO,PTO_DE_BORDA_APARADA_20,X,2630.59,2629.16,-1.42,1.2,-1.2
24/04/2026,18:49:33,LOC104,PONTO,PTO_DE_BORDA_APARADA_21,X,2604.7,2603.51,-1.19,1.2,-1.2
24/04/2026,18:49:33,LOC111,PONTO,PTO_DE_BORDA_APARADA_36,X,2630.59,2629.03,-1.56,1.2,-1.2
24/04/2026,18:49:33,LOC138,PONTO,PTO_DE_BORDA_APARADA_37,T,0.0,2.04,2.04,1.2,-1.2
24/04/2026,18:49:33,LOC132,PONTO,PTO_DE_BORDA_APARADA_2,T,0.0,0.19,0.19,1.2,-1.2
24/04/2026,18:49:33,LOC133,PONTO,PTO_DE_BORDA_APARADA_3,T,0.0,0.15,0.15,1.2,-1.2
24/04/2026,18:49:33,LOC134,PONTO,PTO_DE_BORDA_APARADA_4,T,0.0,0.06,0.06,1.2,-1.2
24/04/2026,18:49:33,LOC135,PONTO,PTO_DE_BORDA_APARADA_5,T,0.0,0.16,0.16,1.2,-1.2
24/04/2026,18:49:33,LOC136,PONTO,PTO_DE_BORDA_APARADA_6,T,0.0,0.16,0.16,1.2,-1.2
24/04/2026,18:49:33,LOC137,PONTO,PTO_DE_BORDA_APARADA_7,T,0.0,0.21,0.21,1.2,-1.2
24/04/2026,18:49:33,LOC112,PONTO,PTO_DE_BORDA_APARADA_14,Y,-306.51,-306.51,0.01,1.0,-1.0
24/04/2026,18:49:33,LOC113,PONTO,PTO_DE_BORDA_APARADA_15,Y,-306.51,-306.54,-0.03,1.0,-1.0
24/04/2026,18:49:33,LOC114,PONTO,PTO_DE_BORDA_APARADA_16,Y,-306.51,-306.56,-0.05,1.0,-1.0
24/04/2026,18:49:33,LOC115,PONTO,PTO_DE_BORDA_APARADA_17,Y,-306.51,-306.53,-0.01,1.0,-1.0
24/04/2026,18:49:33,LOC116,PONTO,PTO_DE_BORDA_APARADA_18,Y,-306.51,-306.48,0.03,1.0,-1.0
24/04/2026,18:49:33,LOC117,PONTO,PTO_DE_BORDA_APARADA_19,Y,-306.51,-306.43,0.08,1.0,-1.0
24/04/2026,18:49:33,LOC108,PONTO,PTO_DE_BORDA_APARADA_33,X,2432.95,2432.54,-0.41,1.2,-1.2
24/04/2026,18:49:33,LOC109,PONTO,PTO_DE_BORDA_APARADA_31,X,2432.95,2432.46,-0.49,1.2,-1.2
24/04/2026,18:49:33,LOC110,PONTO,PTO_DE_BORDA_APARADA_32,X,2432.95,2432.85,-0.1,1.2,-1.2
24/04/2026,18:49:33,LOC118,PONTO,PTO_DE_BORDA_APARADA_29,Y,-159.81,-160.94,-1.14,1.2,-1.2
24/04/2026,18:49:33,LOC119,PONTO,PTO_DE_BORDA_APARADA_30,Y,-159.81,-161.01,-1.2,1.2,-1.2
24/04/2026,18:49:33,LOC120,PONTO,PTO_DE_BORDA_APARADA_34,Y,-280.71,-280.09,0.61,1.2,-1.2
24/04/2026,18:49:33,LOC121,PONTO,PTO_DE_BORDA_APARADA_35,Y,-280.71,-280.04,0.67,1.2,-1.2
24/04/2026,18:49:33,LOC122,PONTO,PTO_DE_BORDA_APARADA_22,Y,159.81,160.84,1.03,1.2,-1.2
24/04/2026,18:49:33,LOC123,PONTO,PTO_DE_BORDA_APARADA_23,Y,159.81,161.07,1.26,1.2,-1.2
24/04/2026,18:49:33,LOC107,PONTO,PTO_DE_BORDA_APARADA_24,X,2432.95,2433.03,0.08,1.2,-1.2
24/04/2026,18:49:33,LOC105,PONTO,PTO_DE_BORDA_APARADA_25,X,2432.95,2433.06,0.11,1.2,-1.2
24/04/2026,18:49:33,LOC106,PONTO,PTO_DE_BORDA_APARADA_26,X,2432.95,2433.25,0.3,1.2,-1.2
24/04/2026,18:49:33,LOC124,PONTO,PTO_DE_BORDA_APARADA_27,Y,280.71,279.99,-0.72,1.2,-1.2
24/04/2026,18:49:33,LOC125,PONTO,PTO_DE_BORDA_APARADA_28,Y,280.71,280.05,-0.66,1.2,-1.2
