Data,Hora,Localização,TipoGeométrico,NomePonto,Eixo,Nominal,Medido,Desvio,Tol+,Tol-
12/11/2025,08:25:09,LOC23,CÍRCULO,28359,Y,-830.08,-831.51,-1.43,0.5,-0.5
12/11/2025,08:25:09,LOC23,CÍRCULO,28359,Z,273.81,274.16,0.35,0.5,-0.5
12/11/2025,08:25:09,LOC62,CÍRCULO,28354,Y,-821.91,-820.72,1.19,0.5,-0.5
12/11/2025,08:25:09,LOC62,CÍRCULO,28354,Z,648.15,647.29,-0.86,0.5,-0.5
12/11/2025,08:25:09,LOC63,CÍRCULO,CÍR5,Y,-778.0,-776.39,1.61,1.0,-1.0
12/11/2025,08:25:09,LOC63,CÍRCULO,CÍR5,Z,405.75,406.1,0.35,1.0,-1.0
12/11/2025,08:25:09,LOC64,SLOT,SLTR1,Y,-778.96,-778.18,0.78,1.0,-1.0
12/11/2025,08:25:09,LOC64,SLOT,SLTR1,Z,361.9,362.16,0.26,1.0,-1.0
12/11/2025,08:25:09,LOC65,CÍRCULO,CÍR4,Y,-745.75,-744.55,1.21,1.0,-1.0
12/11/2025,08:25:09,LOC65,CÍRCULO,CÍR4,Z,579.7,579.94,0.24,1.0,-1.0
12/11/2025,08:25:09,LOC66,CÍRCULO,CÍR3,Y,-750.37,-749.09,1.27,1.0,-1.0
12/11/2025,08:25:09,LOC66,CÍRCULO,CÍR3,Z,427.84,427.25,-0.59,1.0,-1.0
12/11/2025,08:25:09,N/D,N/D,N/D,M,8.17,10.79,2.62,0.8,-0.8
12/11/2025,08:25:09,N/D,N/D,N/D,M,374.34,373.14,-1.21,0.8,-0.8
12/11/2025,08:25:09,LOC67,PONTO,PNT15,T,0.0,-0.51,-0.51,0.5,-0.5
12/11/2025,08:25:09,LOC68,PONTO,PNT16,T,0.0,-0.41,-0.41,0.5,-0.5
12/11/2025,08:25:09,LOC69,PONTO,PNT17,T,0.0,-1.18,-1.18,0.5,-0.5
12/11/2025,08:25:09,LOC70,PONTO,PNT18,T,0.0,-1.91,-1.91,0.5,-0.5
12/11/2025,08:25:09,LOC71,PONTO,PNT19,T,0.0,-1.06,-1.06,0.5,-0.5
12/11/2025,08:25:09,LOC72,PONTO,PNT20,T,0.0,-1.56,-1.56,0.5,-0.5
12/11/2025,08:25:09,LOC73,PONTO,PNT21,T,0.0,-1.03,-1.03,0.5,-0.5
12/11/2025,08:25:09,LOC74,PONTO,PNT22,T,0.0,-1.09,-1.09,0.5,-0.5
12/11/2025,08:25:09,LOC75,PONTO,PNT23,T,0.0,-0.41,-0.41,0.5,-0.5
12/11/2025,08:25:09,LOC76,PONTO,PNT24,T,0.0,-0.54,-0.54,0.5,-0.5
12/11/2025,08:25:09,LOC77,PONTO,PNT25,T,0.0,-1.05,-1.05,0.5,-0.5
12/11/2025,08:25:09,LOC78,PONTO,PNT26,T,0.0,-1.47,-1.47,0.5,-0.5
12/11/2025,08:25:09,LOC79,PONTO,PNT27,T,0.0,-1.15,-1.15,0.5,-0.5
12/11/2025,08:25:09,LOC80,PONTO,PNT28,T,0.0,-1.34,-1.34,0.5,-0.5
12/11/2025,08:25:09,LOC81,PONTO,PNT29,T,0.0,-1.76,-1.76,0.5,-0.5
12/11/2025,08:25:09,LOC82,PONTO,PNT30,T,0.0,-1.38,-1.38,0.5,-0.5
12/11/2025,08:25:09,LOC83,PONTO,PNT31,T,0.0,-0.96,-0.96,0.5,-0.5
12/11/2025,08:25:09,LOC84,PONTO,PNT32,T,0.0,0.11,0.11,0.5,-0.5
12/11/2025,08:25:09,LOC85,PONTO,PNT33,T,0.0,0.17,0.17,0.5,-0.5
12/11/2025,08:25:09,LOC86,PONTO,PNT34,T,0.0,0.48,0.48,0.5,-0.5
12/11/2025,08:25:09,LOC87,PONTO,PNT35,T,0.0,0.78,0.78,0.5,-0.5
12/11/2025,08:25:09,LOC88,PONTO,PNT36,T,0.0,-0.08,-0.08,0.5,-0.5
12/11/2025,08:25:09,LOC89,PONTO,PNT37,T,0.0,0.38,0.38,0.5,-0.5
12/11/2025,08:25:09,LOC90,PONTO,PNT38,T,0.0,0.37,0.37,0.5,-0.5
12/11/2025,08:25:09,LOC91,PONTO,PNT39,T,0.0,-0.08,-0.08,0.5,-0.5
12/11/2025,08:25:09,LOC92,PONTO,PNT40,T,0.0,0.68,0.68,0.5,-0.5
12/11/2025,08:25:09,LOC93,PONTO,PNT41,T,0.0,0.19,0.19,0.5,-0.5
12/11/2025,08:25:09,LOC94,PONTO,PNT42,T,0.0,-0.7,-0.7,0.5,-0.5
12/11/2025,08:25:09,LOC95,PONTO,PNT43,T,0.0,0.24,0.24,0.5,-0.5
