Data,Hora,Localização,TipoGeométrico,NomePonto,Eixo,Nominal,Medido,Desvio,Tol+,Tol-,Origem
05/12/2025,10:32:06,LOC1,CÍRCULO,CÍRCULO_1,X,3306.84,3306.85,0.0,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC1,CÍRCULO,CÍRCULO_1,Y,-137.0,-136.76,0.24,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC2,CÍRCULO,CÍRCULO_2,X,3306.84,3306.09,-0.76,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC2,CÍRCULO,CÍRCULO_2,Y,137.0,137.18,0.18,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC7,CÍRCULO,CÍRCULO_11,X,3242.0,3242.75,0.75,0.8,-0.8,C2025.3007.csv
05/12/2025,10:32:06,LOC7,CÍRCULO,CÍRCULO_11,Y,0.0,-0.2,-0.2,0.8,-0.8,C2025.3007.csv
05/12/2025,10:32:06,LOC8,CÍRCULO,CÍRCULO_4,X,3242.0,3242.24,0.24,0.8,-0.8,C2025.3007.csv
05/12/2025,10:32:06,LOC8,CÍRCULO,CÍRCULO_4,Y,-34.29,-33.88,0.41,0.8,-0.8,C2025.3007.csv
05/12/2025,10:32:06,LOC9,CÍRCULO,CÍRCULO_3,X,3242.0,3241.64,-0.36,0.8,-0.8,C2025.3007.csv
05/12/2025,10:32:06,LOC9,CÍRCULO,CÍRCULO_3,Y,34.28,34.37,0.09,0.8,-0.8,C2025.3007.csv
05/12/2025,10:32:06,N/D,N/D,N/D,M,68.57,68.25,-0.32,0.5,-0.5,C2025.3007.csv
05/12/2025,10:32:06,LOC3,CÍRCULO,CÍRCULO_5,Y,-141.23,-141.68,-0.46,0.7,-0.7,C2025.3007.csv
05/12/2025,10:32:06,LOC3,CÍRCULO,CÍRCULO_5,Z,150.36,148.87,-1.49,0.7,-0.7,C2025.3007.csv
05/12/2025,10:32:06,LOC117,CÍRCULO,CÍRCULO_6,Y,141.23,141.33,0.11,0.7,-0.7,C2025.3007.csv
05/12/2025,10:32:06,LOC117,CÍRCULO,CÍRCULO_6,Z,150.36,149.09,-1.27,0.7,-0.7,C2025.3007.csv
05/12/2025,10:32:06,LOC5,CÍRCULO,CÍRCULO_7,X,3205.0,3204.89,-0.11,0.7,-0.7,C2025.3007.csv
